"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90","color_liga"
"770",7106,"Philipp Mwene",8,677,0,0.175674819387496,0,1.29759627394378,4,11,1,0,"D","Mainz 05",0,0.175674819387496,2.81883541494608,2.15888299793005,"Alemania","23-24",0,0.0233541118831235,0,0.172501720317489,0.531757754800591,1.46233382570162,0,0.0233541118831235,0.37473439785103,0.287000693964113,"orange"
"771",7108,"Jonathan Burkardt",4,158,0,0.423631578683853,0,0,3,0,0,0,"M S","Mainz 05",0,0.423631578683853,0.357561007142067,0.0320968776941299,"Alemania","23-24",0,0.241309127098397,0,0,1.70886075949367,0,0,0.241309127098397,0.203673991410038,0.0182830315979221,"orange"
"772",7267,"Woo-Yeong Jeong",11,363,0,1.23817017674446,2,1.31102055311203,7,6,0,0,"M S","VfB Stuttgart",0,1.23817017674446,4.43778438866138,2.0493239313364,"Alemania","23-24",0,0.306984341341602,0.495867768595041,0.32504641812695,1.73553719008264,1.48760330578512,0,0.306984341341602,1.10027712115571,0.508096842480099,"orange"
"773",7320,"Amos Pieper",6,540,0,0.211062559857965,0,0.534010767936707,3,1,0,0,"D","Werder Bremen",0,0.211062559857965,1.75938484445214,1.22537407651544,"Alemania","23-24",0,0.0351770933096608,0,0.0890017946561178,0.5,0.166666666666667,0,0.0351770933096608,0.29323080740869,0.204229012752573,"orange"
"774",7345,"Alphonso Davies",13,1011,0,0.215733399614692,3,1.63406261429191,5,20,0,0,"D S","Bayern Munich",0,0.215733399614692,9.94841199368238,9.15345698595047,"Alemania","23-24",0,0.0192047536748984,0.267062314540059,0.145465514625393,0.445103857566766,1.78041543026706,0,0.0192047536748984,0.885615311010301,0.814847802903603,"orange"
"775",7366,"Maximilian Wöber",14,1241,0,0.705917231738567,2,0.971273366361856,7,9,1,0,"D","Borussia M.Gladbach",0,0.705917231738567,4.41929225623608,4.33673492446542,"Alemania","23-24",0,0.051194642108357,0.145044319097502,0.070438842040747,0.507655116841257,0.652699435938759,0,0.051194642108357,0.320496618099313,0.314509382112722,"orange"
"776",7410,"Andras Schafer",3,68,0,0.0395188964903355,0,0.0908304546028376,2,2,0,0,"S","Union Berlin",0,0.0395188964903355,0.130349352955818,0,"Alemania","23-24",0,0.052304421825444,0,0.120216778150814,2.64705882352941,2.64705882352941,0,0.052304421825444,0.172521202441524,0,"orange"
"777",7501,"Amadou Haidara",9,568,0,0.315867189317942,0,0.788292050361633,9,7,2,0,"M S","RasenBallsport Leipzig",0,0.315867189317942,6.28525917604566,5.28748570010066,"Alemania","23-24",0,0.0500493785891105,0,0.124905430515047,1.42605633802817,1.10915492957746,0,0.0500493785891105,0.995903742683291,0.837805832762428,"orange"
"778",7524,"Tuta",14,1190,0,0.358685107901692,1,0.845216071233153,6,3,0,0,"D","Eintracht Frankfurt",0,0.358685107901692,3.36909461766481,3.28059992939234,"Alemania","23-24",0,0.0271274451354221,0.0756302521008403,0.0639239045470452,0.453781512605042,0.226890756302521,0,0.0271274451354221,0.254805475285574,0.248112599701942,"orange"
"779",7632,"Ivan Ordets",9,753,0,0.325005060061812,0,0.19368502497673,8,1,2,0,"D","Bochum",0,0.325005060061812,1.33285865187645,1.33285865187645,"Alemania","23-24",0,0.0388452263022086,0,0.023149604578892,0.956175298804781,0.119521912350598,0,0.0388452263022086,0.159305814965313,0.159305814965313,"orange"
"780",7719,"Nathanael Mbuku",1,3,0,0.020050048828125,0,0.0325101539492607,1,1,0,0,"S","Augsburg",0,0.020050048828125,0.0525602027773857,0,"Alemania","23-24",0,0.60150146484375,0,0.975304618477821,30,30,0,0.60150146484375,1.57680608332157,0,"orange"
"781",7783,"Xaver Schlager",14,1243,0,0.584493444301188,1,1.09762566164136,9,13,1,0,"M","RasenBallsport Leipzig",0,0.584493444301188,8.97087369114161,8.07232337072492,"Alemania","23-24",0,0.0423205229180265,0.0724054706355591,0.0794741026128097,0.651649235720032,0.941271118262269,0,0.0423205229180265,0.649540331619264,0.584480372779761,"orange"
"782",7791,"Sebastiaan Bornauw",8,399,0,0.241129368543625,0,0,2,0,1,0,"D S","Wolfsburg",0,0.241129368543625,1.02713353931904,0.921208992600441,"Alemania","23-24",0,0.054390083130141,0,0,0.451127819548872,0,0,0.054390083130141,0.231684256989257,0.207791502090325,"orange"
"783",7796,"Klaus Gjasula",9,584,0,0.10551349632442,0,0.106560867279768,3,3,1,1,"D M S","Darmstadt",0,0.10551349632442,1.51055877935141,1.40399794187397,"Alemania","23-24",0,0.0162606415568455,0,0.0164220514643478,0.462328767123288,0.462328767123288,0,0.0162606415568455,0.232791592708265,0.216369545836742,"orange"
